algorithm,target,outer_fold,best_config,class_labels,inner_mae_mean,inner_qwk_mean
Softmax equiparado (mediana),GDS,2,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3, 4, 5, 6, 7]",0.4857142857142857,0.6633597531069975
Softmax fijo,GDS_R1,1,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",nan,nan
Softmax fijo,GDS_R1,2,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",nan,nan
Softmax fijo,GDS_R1,3,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",nan,nan
Softmax fijo,GDS_R1,4,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",nan,nan
Softmax fijo,GDS_R1,5,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",nan,nan
Softmax HP,GDS_R1,1,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.11842981451968904,0.5671421613955185
Softmax HP,GDS_R1,2,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.11395554158904027,0.5851689464678468
Softmax HP,GDS_R1,3,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.10615923323831115,0.6164819663979689
Softmax HP,GDS_R1,4,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.09498103297344616,0.6664887711725963
Softmax HP,GDS_R1,5,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.1082579515611322,0.6036644051531653
CORAL sin pesos,GDS_R1,1,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.0005, ""weight_decay"": 0.0001}","[1, 2, 3]",0.1150928149760948,0.6624026453527693
CORAL sin pesos,GDS_R1,2,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.11844477864320292,0.6285473759435473
CORAL sin pesos,GDS_R1,3,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.11062602410720297,0.668986109211637
CORAL sin pesos,GDS_R1,4,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.10614426911479728,0.6796219469094046
CORAL sin pesos,GDS_R1,5,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.11831010153157805,0.6532075939747424
CORAL con pesos,GDS_R1,1,"{""beta"": 0.9, ""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.0005, ""weight_decay"": 0.0001}","[1, 2, 3]",0.11844103761232445,0.659338095228769
CORAL con pesos,GDS_R1,2,"{""beta"": 0.9, ""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.11844103761232444,0.6164499320660122
CORAL con pesos,GDS_R1,3,"{""beta"": 0.9, ""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.1173187283487838,0.6651177740876515
CORAL con pesos,GDS_R1,4,"{""beta"": 0.9, ""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.0005, ""weight_decay"": 0.0001}","[1, 2, 3]",0.10614052808391881,0.6911101884679732
CORAL con pesos,GDS_R1,5,"{""beta"": 0.9, ""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.11719901536067279,0.66485496792946
CORN,GDS_R1,1,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.11172588718547283,0.6630025343670001
CORN,GDS_R1,2,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.10500325469686426,0.6754488664570605
CORN,GDS_R1,3,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.10281101060208152,0.6695667062891105
CORN,GDS_R1,4,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.09386246474078397,0.7057784899035978
